date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:43:13	141/141	---M--	200	added ('OK')	image/png	etag:%225e5445f1-8d%22	https://emupedia.net/emupedia-resources/icons/win31/menu.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/menu.png	(from https://emupedia.net/beta/emuos/css/themes/win3x/window.css)
15:43:13	136/136	---M--	200	added ('OK')	image/png	etag:%225e5445f1-88%22	https://emupedia.net/emupedia-resources/icons/win31/menu-pressed.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/menu-pressed.png	(from https://emupedia.net/beta/emuos/css/themes/win3x/window.css)
15:43:13	136/136	---M--	200	added ('OK')	image/png	etag:%225e5445f1-88%22	https://emupedia.net/emupedia-resources/icons/win31/maximize.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/maximize.png	(from https://emupedia.net/beta/emuos/css/themes/win3x/window.css)
15:43:14	159/159	---M--	200	added ('OK')	image/png	etag:%225e5445f1-9f%22	https://emupedia.net/emupedia-resources/icons/win31/restore.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/restore.png	(from https://emupedia.net/beta/emuos/css/themes/win3x/window.css)
15:43:14	132/132	---M--	200	added ('OK')	image/png	etag:%225e5445f1-84%22	https://emupedia.net/emupedia-resources/icons/win31/minimize.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/minimize.png	(from https://emupedia.net/beta/emuos/css/themes/win3x/window.css)
15:43:14	242/242	---M--	200	added ('OK')	image/png	etag:%225e5445f1-f2%22	https://emupedia.net/emupedia-resources/icons/win31/start.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/start.png	(from https://emupedia.net/beta/emuos/css/themes/win3x/taskbar.css)
15:43:14	147/147	---M--	200	added ('OK')	image/png	etag:%225e5445f1-93%22	https://emupedia.net/emupedia-resources/icons/win31/up.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win31/up.png	(from https://emupedia.net/beta/emuos/css/themes/win9x/scrollbar.css)
15:43:15	67/67	---M--	200	added ('OK')	image/gif	etag:%225e5445f1-43%22	https://emupedia.net/emupedia-resources/icons/win95/close.gif	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win95/close.gif	(from https://emupedia.net/beta/emuos/css/themes/win9x/window.css)
15:43:15	70/70	---M--	200	added ('OK')	image/gif	etag:%225e5445f1-46%22	https://emupedia.net/emupedia-resources/icons/win95/maximize.gif	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win95/maximize.gif	(from https://emupedia.net/beta/emuos/css/themes/win9x/window.css)
15:43:15	72/72	---M--	200	added ('OK')	image/gif	etag:%225e5445f1-48%22	https://emupedia.net/emupedia-resources/icons/win95/restore.gif	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win95/restore.gif	(from https://emupedia.net/beta/emuos/css/themes/win9x/window.css)
15:43:15	61/61	---M--	200	added ('OK')	image/gif	etag:%225e5445f1-3d%22	https://emupedia.net/emupedia-resources/icons/win95/minimize.gif	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win95/minimize.gif	(from https://emupedia.net/beta/emuos/css/themes/win9x/window.css)
15:43:16	116/116	---M--	200	added ('OK')	image/png	etag:%225e5445f1-74%22	https://emupedia.net/emupedia-resources/images/transparent.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/images/transparent.png	(from https://emupedia.net/beta/emuos/css/themes/win9x/taskbar.css)
15:43:16	242/242	---M--	200	added ('OK')	image/png	etag:%225e5445f1-f2%22	https://emupedia.net/emupedia-resources/icons/win95/start.png	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/icons/win95/start.png	(from https://emupedia.net/beta/emuos/css/themes/win9x/taskbar.css)
15:43:19	517459/517459	---M--	200	added ('OK')	image/jpeg	etag:%225e5445f2-7e553%22	https://emupedia.net/emupedia-resources/wallpapers/seasonal/valentines.jpg	C:/My%20Web%20Sites/bruh%20moment/emupedia.net/emupedia-resources/wallpapers/seasonal/valentines.jpg	(from https://emupedia.net/beta/emuos/css/themes/seasonal/valentines/background.css)
